DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EE,2021,18121,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EE,2022,18765,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EE,2023,19468,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EE,2024,20980,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2014,13934,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2015,14319,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2016,14358,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2017,14692,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2018,14765,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2019,15714,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2020,15176,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2021,16971,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2022,17940,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2023,19831,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,EL,2024,20639,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2014,17375,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,ES,2015,18278,,
