DATAFLOW,LAST UPDATE,freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2023,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2024,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA20,2025,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2014,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2015,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2016,106,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2017,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2018,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2019,105,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2020,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2021,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2022,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2023,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2024,104,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EA21,2025,103,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2014,78,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2015,77,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2016,78,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2017,80,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2018,82,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2019,83,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2020,85,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2021,85,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2022,83,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2023,80,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2024,79,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2025,79,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2014,71,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2015,69,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2016,67,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2017,66,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2018,66,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2019,66,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2020,62,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2021,64,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2022,66,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2023,68,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2024,68,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EL,2025,68,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2014,90,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2015,91,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2016,92,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2017,92,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2018,91,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2019,90,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2020,82,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2021,85,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2022,88,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2023,91,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2024,91,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2025,92,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2014,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2015,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2016,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2017,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2018,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2019,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2020,100,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2021,100,,
